{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.0809848}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519544.0819862}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.2049334}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519544.204969}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519544.2469566}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.269631}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.3716621}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519544.3716621}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.4629278}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519544.4629278}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.4679306}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.574998}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519544.5759668}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.6616719}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519544.6616719}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.7745934}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519544.7745934}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519544.7805963}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519544.8556275}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.8766413}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519544.914677}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519544.984954}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.0059633}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519545.1028597}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.123611}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519545.2522335}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.3382561}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.4307823}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519545.5219526}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.6079762}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519545.7150006}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519545.8170228}
{'type': 'down', 'input': 'e', 'position': (1431, 694), 'timestamp': 1697519545.8870413}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519546.005242}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519547.198862}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519547.3911827}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519547.4191937}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519547.591827}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519547.6075916}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519547.7049239}
